title,url,watchnum,dm,uptime,upname
新冠疫情下的我们（2） ｜ 英国美国澳洲天价机票 ｜澳洲居家隔离 ｜ 大学课程改线上｜ 工作岗位取消,//www.bilibili.com/video/BV1H54y1z7UH?from=search,154,2,2020/6/29,霜打的茄子要成精
五分钟树洞/6月8日vlog/延期一个月的高考/影响一代人的疫情/全世界通用的学霸抄笔记/德国大学课程类型设置/讲座练习辅导研讨,//www.bilibili.com/video/BV1x54y1B7eX?from=search,34,0,2020/6/8,jsdcccc
【Coursera】宾夕法尼亚大学课程团队学习文化建设Creating a Team Culture of Continuous Learning,//www.bilibili.com/video/BV1G54y1B7cv?from=search,204,0,2020/6/5,红松鼠CuO
国民歌手金敏淑vs公开赛第1部分[iPhone 7] +4分便利国立大学课程,//www.bilibili.com/video/BV1n54y1D7NJ?from=search,39,0,2020/5/20,-阪本先生-
【Coursera】宾夕法尼亚大学课程打造高能团队Building High-performing Teams,//www.bilibili.com/video/BV1854y1X7Vu?from=search,171,0,2020/5/14,红松鼠CuO
大学课程:居家疫情锻炼之——击剑趣味训练,//www.bilibili.com/video/BV1q54y1d7Jk?from=search,92,0,2020/4/9,何如天性凉薄
大学课程:居家疫情锻炼之一——有氧热身操,//www.bilibili.com/video/BV1e54y1d7mK?from=search,676,0,2020/4/9,何如天性凉薄
【大学课程】计算机网络-第六周-1交换机工作原理,//www.bilibili.com/video/BV1K54y1d77D?from=search,242,0,2020/4/1,HOLMES_MA
【大学课程】计算机网络-第五周-2,//www.bilibili.com/video/BV1P54y1d7Kk?from=search,20,0,2020/4/1,HOLMES_MA
（密歇根大学课程Week2-10）Time Value of Money（原名金融导论）,//www.bilibili.com/video/BV1454y1R7Nz?from=search,5,0,2020/10/18,linksysram
8.20 | CFA线上公开课！揭秘各大学课程与CFA的相似度，机考对于备考CFA的改变和注意事项！,//www.bilibili.com/video/BV1554y1U7NZ?from=search,24,0,2020/8/24,WinCareer职赢
大学课程 单片机软硬件设计[第1部],//www.bilibili.com/video/BV1ig4y1q7xn?from=search,56,0,2020/6/22,Iammyself001
【Coursera】密西根大学课程债券和股票bonds and stocks,//www.bilibili.com/video/BV1Eg4y1z7hM?from=search,178,0,2020/5/1,红松鼠CuO
